Symbol,Name
NU,Nu Holdings Ltd. Class A Ordinary Shares
ACGL,Arch Capital Group Ltd. Common Stock
ARGD,Argo Group International Holdings Ltd. 6.5% Senior Notes Due 2042
BGNE,BeiGene Ltd. American Depositary Shares
BPYPM,Brookfield Property Partners L.P. 6.25% Class A Cumulative Redeemable Preferred Units Series 1
BIP,Brookfield Infrastructure Partners LP Limited Partnership Units
EG,Everest Group Ltd. Common Stock
BPYPP,Brookfield Property Partners L.P. 6.50% Class A Cumulative Redeemable Perpetual Preferred Units
BPYPO,Brookfield Property Partners L.P. 6.375% Class A Cumulative Redeemable Perpetual Preferred Units Series 2
RNR,RenaissanceRe Holdings Ltd. Common Stock
BPYPN,Brookfield Property Partners L.P. 5.750% Class A Cumulative Redeemable Perpetual Preferred Units Series 3
ACGLO,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F
FN,Fabrinet Ordinary Shares
ACGLN,Arch Capital Group Ltd. Depositary Shares each Representing a 1/1000th Interest in a 4.550% Non-Cumulative Preferred Share Series G
G,Genpact Limited Common Stock
AXS,Axis Capital Holdings Limited Common Stock
ZK,ZEEKR Intelligent Technology Holding Limited American Depositary Shares (each representing ten (10) Ordinary Shares)
ESNT,Essent Group Ltd. Common Shares
ATHS,Athene Holding Ltd. 7.250% Fixed-Rate Reset Junior Subordinated Debentures due 2064
ESGR,Enstar Group Limited Ordinary Shares
LAZ,Lazard Inc. Common Stock
AGO,Assured Guaranty Ltd. Common Stock
FRO,Frontline Plc Ordinary Shares
SIG,Signet Jewelers Limited Common Shares
GLNG,Golar Lng Ltd
FBP,First BanCorp. New Common Stock
PAGS,PagSeguro Digital Ltd. Class A Common Shares
RLX,RLX Technology Inc. American Depositary Shares each representing the right to receive one (1) Class A ordinary share
SPNT,SiriusPoint Ltd. Common Shares
GOGL,Golden Ocean Group Limited Common Stock
EVTC,Evertec Inc. Common Stock
SPNS,Sapiens International Corporation N.V. Common Shares (Cayman Islands)
FIHL,Fidelis Insurance Holdings Limited Common Shares
MHNC,Maiden Holdings North America Ltd. 7.75% Notes due 2043
OFG,OFG Bancorp Common Stock
OSW,OneSpaWorld Holdings Limited Common Shares
MHLA,Maiden Holdings Ltd. 6.625% Notes due 2046
NTB,Bank of N.T. Butterfield & Son Limited (The) Voting Ordinary Shares
KOS,Kosmos Energy Ltd. Common Shares (DE)
PAX,Patria Investments Limited Class A Common Shares
TNK,Teekay Tankers Ltd.
SFL,SFL Corporation Ltd
FDP,Fresh Del Monte Produce Inc. Common Stock
HELE,Helen of Troy Limited Common Stock
HG,Hamilton Insurance Group Ltd. Class B Common Shares
AOSL,Alpha and Omega Semiconductor Limited Common Shares
CTOS,Custom Truck One Source Inc. Common Stock
IHS,IHS Holding Limited Ordinary Shares
HLF,Herbalife Ltd. Common Shares
